pairId,distanceKm,durationMin,source,notes
0327aa6e3d3ace9c,12.9,,,
86bac28fff9c020c,12.4,,,
01cda2f7323d3c53,0.4,,,
0e4fa038c82ecb8b,3.4,,,
7da79a0b49daf59e,7.9,,,
7f1a17249ff6b560,1.4,,,
80516c34b463454e,0.4,,,
9fd9785bdfc3463b,12.4,,,
56a585e16e0e367e,1.2,,,
6504db692aa93a32,17.6,,,
75aa3624475936a0,13.8,,,
80ad7193012f01ec,3.8,,,
a9528a1051cd96d5,12.4,,,
006b72e37489f745,13.7,,,
54eb60485b4a8fe6,11.9,,,
65f7790f02a8f360,23.6,,,
d5d2997442871b4f,21.4,,,
e5480fe92ab7f56b,0.5,,,
0333dd962515cba0,1.7,,,
60588658350e183a,11,,,
0ea8cd5926b71f24,3.5,,,
27021abc7e271c7b,0.3,,,
6a02397d6dee69dc,8,,,
b113abc1f5cfe27b,0.5,,,
b499fb9be139fa21,9.5,,,
e7029e0d838a2c40,2.7,,,
04b90fbf9c387f70,10.5,,,
110f1fb994552ff9,10.3,,,
dc0d67b3206ce51e,4.6,,,
ffb0a3ebcb75420c,2,,,
1468d9606fef7f4f,7.1,,,
1f6cca890005cdcb,16.2,,,
5267e095b522fb54,3.2,,,
64bff25531598625,13.7,,,
d9855ad0fab68e9f,3.4,,,
14be047d65124306,15.6,,,
4940510202edb04a,14.6,,,
92c29c6817c86478,1.6,,,
d2aca3fb3ba81f29,0.8,,,
0ecc9c2edc586da4,11.2,,,
11e573bdb299f149,1.9,,,
512771de4aabe07d,0.7,,,
f2f39f25e1733d10,11.8,,,
01dad87696454301,4.8,,,
0f0a1bea09cde0df,3.7,,,
3f52c5765ea32647,4.9,,,
968e09bafb572d68,3.3,,,
22c4954d9dc26a6c,1.9,,,
9b51331f0baa9297,8.2,,,
f2f4e21957e82d86,6.2,,,
192a94785cc31c3c,166,,,
c79031719dc71afb,9,,,
1980f7a73eb34b89,7.4,,,
19aaf06c09fe85cf,6,,,
c400d5ff2af48c21,0.3,,,
e35403325cb8a768,9.4,,,
306b1d7055a9c9d3,26,,,
39ceadbd10784258,10,,,
3cdf23390e869fcd,33.8,,,
618ee543b749a8f9,2,,,
909008ea0a82f5b4,4.8,,,
063f552c4a110ad3,3.8,,,
4806a9f871b09a5f,5.1,,,
95e40978ab7c1926,2,,,
9fe69e147c65ef6b,116,,,
1b62b5bf61ae00ec,9.3,,,
3c303436223ad50e,7.7,,,
44d2b1bab7667715,0.7,,,
5ee27ad58d72bbab,0.9,,,
622427237aed3a7e,0.5,,,
7b30e99993fe504a,166,,,
3e45af76dcdccbe1,54.3,,,
73e2c2c42e7b3d0e,61.1,,,
0dac824b3ff6a9c0,40.8,,,
b1388c076622e1c5,29.9,,,
88c693e914222870,0.4,,,
15e27d6554f58e2b,0.3,,,
1c690e49984f49d5,25.1,,,
94a971d218eb8821,113,,,
3d143df8610b7704,4.1,,,
3ef5332da6c6ae86,33.2,,,
4fc5468460f031dd,32.7,,,
01f563ab51d2f2a3,1,,,
24c9076d28e3fb77,1.4,,,
53002595ff5fb97c,0.3,,,
5cd10258f13bf58e,6.4,,,
753698a31cd3893a,81.6,,,
d7eafc1e5c1acd8d,5.8,,,
16cac77f280dbff6,1.4,,,
1c57e193e3770b60,0.2,,,
52731710880be261,1.1,,,
576d935c98818bd1,9.4,,,
892dabcc0c515761,11,,,
ad4171423aa82ee9,19,,,
e25c3249089b2d6d,39.3,,,
60d896746dadfc01,39.7,,,
a3bbd53bec38aaed,6,,,
16e8e3e8c4f67dfa,2,,,
300b5674e1bd5dfa,0.6,,,
527cda050057cf5f,45.4,,,
68026744d51f3952,29,,,
a53afa0650ea86a8,1.4,,,
dc141b4b34ad8d67,3.8,,,
2839bf99948e8ef4,7.4,,,
45e8caacca780dc2,23.6,,,
d89fc8e194378d8e,28.8,,,
dc7dd2f1d56803f9,5,,,
ef19fcfb5fd06e2f,1,,,
03eaf53f06f39c5b,3.3,,,
1e34ed6c806f2c1a,89.5,,,
5f365e8af8db6877,2.4,,,
84d8ec15a31a8c7f,88.3,,,
ae36219abac96931,5,,,
fc2c141621d0bf5b,1,,,
1fe7217b618d5523,5.9,,,
37c2294eae2ecc4c,5.2,,,
bc8e0492e7f254d7,1.4,,,
d6fffa23d269ea64,83,,,
d7bb3db87ae5cf9c,1.1,,,
f663e1f04319407f,87.3,,,
8813b35ba5e4d9a8,3,,,
75d4f31112994311,1,,,
eee55a25994ae688,326,,,
147ba61352e59bfb,238,,,
7ddaeef641bf1472,12,,,
e8ae3951e4b97242,11,,,
15d776d5ba17e39a,1,,,
8c68d421338ec267,73,,,
9e945299cee5ca57,5.3,,,
b0c940b828e20f54,1.2,,,
e162ab41cd05d7fa,0.6,,,
d139895a2ee6e651,11,,,
04aac63f7fae7d85,1,,,
47f699be7644e94e,1,,,
92c50a8a9f1dec10,17.4,,,
f158b44f728ad540,21.5,,,
c087f5787af1bfc1,0.1,,,
3a22e21495269fad,61.1,,,
aeb2f6d44f3aaa0a,54.4,,,
992aa50e0f2d0226,9,,,
101931a26d56fc54,21.6,,,
2bfba7ee802572cb,1.1,,,
560ab0bb44db3180,1.8,,,
7711086162ce2864,24.1,,,
64c0be5d55c98b52,6,,,
8c0feb984c89671e,10.1,,,
f576746603ae9984,0.3,,,
f75230aaa70f8172,5.7,,,
3e8f5927068b213d,11.9,,,
52dcb06d84358351,45.6,,,
566c45de1c31129d,3.6,,,
721cb077fa0a5c29,3.3,,,
23e9ab088798fcc9,61.1,,,
4c50ff78c5448fd7,6.1,,,
56444a5ed44fce6b,7.3,,,
74c1fb6c2e09ae72,55,,,
437b85d4723b8dfa,6.9,,,
6daf193abc8006fe,2,,,
4f445be91a31db14,1,,,
7b8da98a5862d43b,0.9,,,
a4594bdcf15119e8,11.7,,,
c9dcbc53e2040c24,8.6,,,
f3e199f67671b6f7,2,,,
3e2bc6d6c0c897a2,3.2,,,
ef34f50a082b33ea,3.1,,,
410206c59ecb8e59,2.6,,,
48cb339d9031baa7,4.1,,,
91ce83b3335ad3f1,1,,,
aa04632857753890,5.5,,,
ddebc68ccf940c87,17.4,,,
54e6cc8c4f16935e,2.8,,,
8ad6bf0765ed5039,1.7,,,
9838d97528ea51a1,6.3,,,
b6c4eef91b27ad78,1.3,,,
be85f8078f6d2822,0.8,,,
ce1ff584b99b5eca,0.5,,,
3ae4a13a11031b93,1.1,,,
464dcc26e4b4fc51,2.5,,,
6512fde6f54ca196,12.1,,,
7f7a364f2497fe58,1.1,,,
d79c9df7ce0e8c63,0.5,,,
3dafa891926ad736,13.9,,,
5e78a9e8f543c25e,45.6,,,
b839c641ccc962be,0.3,,,
c80032dde001140d,10,,,
df41df914d788044,50.2,,,
211014a509b0d9bd,74,,,
8411d9888054d19b,0.8,,,
87b5ccae9cfd6b56,5,,,
ce76b4078b1092b1,5.5,,,
d747a1655a686fe4,1.8,,,
2b78f87cfba32ff0,70,,,
4b2aff9b1f76e77c,3.6,,,
6791b4b0b27647eb,10,,,
e096e38df6a15b3c,5.1,,,
fe2d740b4414d70f,71.8,,,
2b898c4d7361f817,1.1,,,
42b2400074583efa,0.6,,,
7106544df4f7ec89,1.6,,,
2cfbfa06ed9d6ff6,1,,,
9f5f254ac03016eb,1.2,,,
b37caf0e514e6ba0,1,,,
b8b5a68b31a5bdcb,1.8,,,
be79e0b93c967a4c,1.5,,,
039b00a4e010e82d,25.1,,,
042f1de24ac5856c,7.3,,,
60f19386957cf5a2,3.2,,,
8085f4f325ecf968,4.3,,,
90f17294e1bb057f,1,,,
c6c1cfa0d29f00fc,3.8,,,
43f7e40e3ab83906,59.4,,,
7b2d98b2e7f8a8f6,64,,,
ba738af7e0093c5e,2.6,,,
e6fc271ee39f1129,4.9,,,
101a9536badc2d11,0.7,,,
4b36e09afeec83de,24.4,,,
5deb7f2d172e5638,31.4,,,
7dcc86f96187e016,11.8,,,
a985ec77c255c7cf,2,,,
fe95347c1603e572,62.5,,,
0a18cc5f2a0eb178,5.5,,,
0dd202e23b82d6e9,37.2,,,
7a82bdca9ec4a140,77,,,
bd25021948e8013e,0.9,,,
0676c686e0bc07be,4.9,,,
7fb5f066a96b2738,2.6,,,
871f9d459acfc7a0,4.8,,,
e70d1a2654d55f13,4,,,
1f5c5b67fedd668f,25.4,,,
323442d9e3aa1b3c,2.5,,,
7dbe0e1621dfe76d,1.4,,,
87cfba4afd8019c2,0.5,,,
9e10282ebb7b07f9,23,,,
e7534dd94dc28672,0.9,,,
12c4bcf3f8db38dd,5.2,,,
3e462966e2729fc1,10.9,,,
9ebaffc4e05ed064,1.5,,,
f96e702515b26712,4.4,,,
1ac02e98b7d2f7f6,40.7,,,
5f4457d263a5f3d2,4.3,,,
9857c10c69e14a2b,1,,,
bbaa061891cd542e,29.6,,,
c8bbb889d4e6870c,4.2,,,
06bdfae1788b754c,4,,,
